ID;FIRST_NAME;LAST_NAME;BIRTH_DATE
1;nombre1;apellido1;12/10/2005
2;nombre2;apellido2;13/10/2005
3;nombre3;apellido3;14/10/2005
4;nombre4;apellido4;15/10/2005
5;nombre5;apellido5;16/10/2005
6;nombre6;apellido6;17/10/2005
7;nombre7;apellido7;18/10/2005
8;nombre8;apellido8;19/10/2005
9;nombre9;apellido9;20/10/2005
10;nombre10;apellido10;21/10/2005
11;nombre11;apellido11;22/10/2005
12;nombre12;apellido12;23/10/2005
13;nombre13;apellido13;24/10/2005
14;nombre14;apellido14;25/10/2005
15;nombre15;apellido15;26/10/2005
16;nombre16;apellido16;27/10/2005
17;nombre17;apellido17;28/10/2005
18;nombre18;apellido18;29/10/2005
19;nombre19;apellido19;30/10/2005
